Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
Usa,2017,Sql Injection,Government,60.66,5346,Unknown,Zero-day,Antivirus,69,11346.801346801347,2015-2019
China,2017,Ddos,Retail,19.36,4814,Unknown,Social Engineering,AI-based Detection,42,4021.6036560033235,2015-2019
Brazil,2021,Sql Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42,65.51354542065366,2020-2024
Australia,2023,Phishing,Education,81.81,16360,Nation-state,Unpatched Software,AI-based Detection,37,5000.611246943765,2020-2024
India,2024,Phishing,Telecommunications,38.68,224143,Nation-state,Social Engineering,Antivirus,60,172.56840499145633,2020-2024
Russia,2023,Sql Injection,IT,52.35,743325,Insider,Weak Passwords,VPN,9,70.42679850670972,2020-2024
France,2019,Phishing,Education,81.47,597542,Unknown,Weak Passwords,VPN,11,136.3418805707381,2015-2019
Russia,2024,Malware,Education,55.15,913591,Hacker Group,Zero-day,AI-based Detection,51,60.36618136562203,2020-2024
Japan,2023,Sql Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57,44.85525470599122,2020-2024
China,2024,Ransomware,Healthcare,42.26,685837,Insider,Social Engineering,VPN,68,61.61813958710306,2020-2024
India,2015,Phishing,Healthcare,28.6,690500,Hacker Group,Weak Passwords,Encryption,11,41.41926140477914,2015-2019
India,2016,Sql Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39,8.283555125041321,2015-2019
India,2020,Phishing,Education,17.43,84643,Nation-state,Unpatched Software,Antivirus,53,205.92370308235766,2020-2024
France,2023,Malware,Healthcare,85.28,762282,Hacker Group,Social Engineering,Firewall,11,111.87460808467208,2020-2024
France,2022,Malware,Education,70.46,427144,Unknown,Social Engineering,Firewall,42,164.9560803850692,2020-2024
Russia,2018,Man-In-The-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57,108.4948725026009,2015-2019
Japan,2024,Man-In-The-Middle,Education,46.39,662101,Insider,Social Engineering,VPN,7,70.06483905023553,2020-2024
Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47,31.432158413167127,2015-2019
India,2021,Ransomware,Education,86.73,534013,Unknown,Unpatched Software,Firewall,49,162.4117764923326,2020-2024
China,2024,Sql Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10,19.463400894367005,2020-2024
Australia,2017,Malware,Retail,9.25,692167,Unknown,Weak Passwords,Encryption,70,13.363826937718787,2015-2019
Japan,2023,Malware,IT,23.16,320277,Unknown,Weak Passwords,Encryption,69,72.31240457478995,2020-2024
Japan,2017,Ransomware,Retail,49.75,163062,Unknown,Unpatched Software,AI-based Detection,43,305.09867412395283,2015-2019
Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18,32.12687120940958,2015-2019
China,2016,Ransomware,Government,72.25,860664,Unknown,Zero-day,Firewall,10,83.94681315821273,2015-2019
Japan,2018,Man-In-The-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43,40.736739067998116,2015-2019
Germany,2024,Man-In-The-Middle,IT,93.13,952299,Unknown,Weak Passwords,VPN,33,97.79491525245747,2020-2024
India,2018,Phishing,Education,5.27,982450,Unknown,Weak Passwords,Firewall,32,5.364140668736322,2015-2019
Australia,2024,Ddos,Retail,28.16,411083,Unknown,Weak Passwords,Firewall,30,68.50198135169784,2020-2024
Usa,2019,Man-In-The-Middle,Government,17.59,43140,Insider,Social Engineering,AI-based Detection,28,407.74223458507186,2015-2019
Uk,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28,55.14904352380901,2015-2019
Germany,2018,Ddos,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38,1540.5594802931873,2015-2019
China,2020,Sql Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48,101.72712374620812,2020-2024
France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23,23.63548425365711,2020-2024
Uk,2017,Man-In-The-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26,81.04552919313713,2015-2019
France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17,105.11481694974329,2015-2019
Australia,2022,Sql Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42,98.34562361974892,2020-2024
Russia,2020,Ddos,Government,72.59,787260,Insider,Weak Passwords,Firewall,15,92.20587861697533,2020-2024
Uk,2018,Malware,Healthcare,19.79,805745,Insider,Weak Passwords,Firewall,7,24.56112045374157,2015-2019
Russia,2020,Sql Injection,Telecommunications,35.02,377194,Unknown,Weak Passwords,Firewall,50,92.84347046877734,2020-2024
China,2023,Malware,Education,37.07,417554,Insider,Unpatched Software,Antivirus,35,88.77893637709134,2020-2024
China,2019,Sql Injection,Government,65.85,252025,Hacker Group,Zero-day,Encryption,60,261.2836028171808,2015-2019
India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70,106.90775740856398,2015-2019
Brazil,2015,Man-In-The-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51,134.69643880534215,2015-2019
India,2017,Ddos,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18,85.42578193945137,2015-2019
India,2021,Malware,Telecommunications,50.97,838461,Nation-state,Zero-day,AI-based Detection,6,60.789947296296425,2020-2024
Brazil,2020,Sql Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67,74.55328286424839,2020-2024
India,2021,Ddos,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12,1542.7533202559732,2020-2024
Uk,2023,Man-In-The-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63,36.03651187692367,2020-2024
Uk,2021,Ddos,IT,70.49,530341,Insider,Social Engineering,VPN,40,132.91448332299407,2020-2024
Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21,210.6998636647941,2020-2024
Russia,2021,Phishing,Banking,78.45,56333,Unknown,Social Engineering,VPN,8,1392.6117906023112,2020-2024
Germany,2018,Ransomware,IT,27.51,644913,Unknown,Weak Passwords,VPN,32,42.656916514320535,2015-2019
Japan,2017,Sql Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57,60.86166053319005,2015-2019
India,2020,Malware,Healthcare,20.62,54206,Insider,Unpatched Software,VPN,51,380.40069365014944,2020-2024
India,2018,Ddos,Telecommunications,47.5,423071,Unknown,Unpatched Software,Antivirus,69,112.27429911291485,2015-2019
Australia,2021,Man-In-The-Middle,Healthcare,17.62,687020,Unknown,Weak Passwords,Antivirus,48,25.6469971762103,2020-2024
Usa,2020,Ransomware,Education,77.09,550317,Insider,Weak Passwords,Encryption,63,140.08289767533984,2020-2024
Germany,2021,Phishing,Banking,48.0,170032,Nation-state,Social Engineering,Encryption,24,282.2998023901383,2020-2024
China,2020,Sql Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68,29.72276764001225,2020-2024
India,2023,Ddos,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39,5.178888386970191,2020-2024
India,2018,Ddos,Education,1.71,63389,Insider,Unpatched Software,VPN,20,26.9762892615438,2015-2019
Usa,2015,Man-In-The-Middle,Retail,95.66,377602,Nation-state,Zero-day,Firewall,15,253.33552258727443,2015-2019
France,2021,Sql Injection,Government,42.75,467551,Unknown,Unpatched Software,Encryption,61,91.43387566276192,2020-2024
Uk,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67,107.21131638125848,2020-2024
Australia,2019,Man-In-The-Middle,Retail,15.21,677755,Hacker Group,Social Engineering,Firewall,52,22.441737796106263,2015-2019
Uk,2022,Man-In-The-Middle,IT,66.25,303838,Nation-state,Zero-day,AI-based Detection,56,218.04382598621635,2020-2024
India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58,275.85598045995613,2015-2019
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63,16.655692930475286,2020-2024
Russia,2015,Ransomware,IT,49.3,879875,Insider,Zero-day,Encryption,61,56.03068617701378,2015-2019
Brazil,2022,Man-In-The-Middle,Healthcare,40.94,987320,Unknown,Zero-day,AI-based Detection,44,41.465786168618074,2020-2024
Japan,2023,Sql Injection,Government,13.51,772948,Unknown,Zero-day,VPN,43,17.47853671915834,2020-2024
Brazil,2015,Phishing,Healthcare,84.83,794914,Insider,Social Engineering,Firewall,34,106.7159466307047,2015-2019
Brazil,2019,Ddos,Telecommunications,36.98,198563,Hacker Group,Social Engineering,Firewall,24,186.23812089865686,2015-2019
Germany,2022,Ddos,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38,663.1422741606381,2020-2024
China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33,33.940597494781564,2015-2019
Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37,47.575488534352104,2020-2024
France,2022,Malware,Education,13.06,759625,Insider,Social Engineering,Encryption,14,17.192693763370084,2020-2024
Brazil,2017,Phishing,Retail,3.18,520654,Nation-state,Social Engineering,VPN,53,6.10770300429844,2015-2019
Usa,2023,Ddos,IT,99.64,248383,Insider,Social Engineering,Firewall,55,401.15466839518,2020-2024
China,2017,Man-In-The-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44,72.88772789827729,2015-2019
China,2020,Malware,Government,84.23,50842,Insider,Zero-day,AI-based Detection,59,1656.7011525903781,2020-2024
Germany,2015,Man-In-The-Middle,Education,81.5,697275,Nation-state,Weak Passwords,Encryption,59,116.88358251765803,2015-2019
Germany,2022,Man-In-The-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40,1.285983729924365,2020-2024
Japan,2023,Man-In-The-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67,339.8409255242227,2020-2024
China,2024,Sql Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31,74.99189902325367,2020-2024
Uk,2018,Malware,Healthcare,27.61,375245,Hacker Group,Social Engineering,Firewall,20,73.57859531772576,2015-2019
China,2023,Man-In-The-Middle,IT,22.96,656090,Insider,Unpatched Software,Encryption,27,34.99519882942889,2020-2024
Australia,2016,Man-In-The-Middle,IT,80.27,653967,Unknown,Unpatched Software,Encryption,21,122.74319652214866,2015-2019
India,2022,Sql Injection,Education,0.83,977791,Unknown,Weak Passwords,Antivirus,15,0.8488521575674147,2020-2024
Uk,2023,Ddos,Telecommunications,81.91,397687,Hacker Group,Social Engineering,VPN,65,205.9659983856651,2020-2024
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23,56.80041471112674,2015-2019
Brazil,2017,Ddos,Telecommunications,34.79,724790,Hacker Group,Unpatched Software,Firewall,64,48.000110376798794,2015-2019
France,2016,Phishing,IT,33.33,51723,Hacker Group,Weak Passwords,Encryption,23,644.3941766718867,2015-2019
India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35,58.461932509444836,2020-2024
India,2016,Man-In-The-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52,15.35639808045024,2015-2019
France,2024,Sql Injection,Telecommunications,48.77,336356,Hacker Group,Unpatched Software,Encryption,2,144.99518367444017,2020-2024
France,2017,Ransomware,Retail,48.93,886212,Unknown,Weak Passwords,Encryption,67,55.21252251154351,2015-2019
Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25,177.82936405582782,2015-2019
Russia,2022,Ddos,Education,69.24,495616,Nation-state,Unpatched Software,Antivirus,38,139.70493285123968,2020-2024
China,2021,Sql Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57,247.6472397697839,2020-2024
Japan,2022,Ddos,IT,51.95,65516,Insider,Weak Passwords,Firewall,37,792.9360766835582,2020-2024
Germany,2024,Ransomware,Government,40.36,301972,Unknown,Weak Passwords,VPN,33,133.6547759394911,2020-2024
Germany,2015,Phishing,Telecommunications,47.04,124250,Insider,Zero-day,AI-based Detection,64,378.59154929577466,2015-2019
Usa,2018,Man-In-The-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31,30.806584788277966,2015-2019
Brazil,2022,Malware,IT,19.26,377446,Unknown,Zero-day,AI-based Detection,12,51.027166800019074,2020-2024
China,2021,Sql Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9,228.81111998365802,2020-2024
Uk,2015,Malware,IT,96.79,825881,Unknown,Zero-day,AI-based Detection,35,117.19606093371806,2015-2019
Usa,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42,31.647376448805474,2020-2024
Germany,2021,Ransomware,Healthcare,16.64,912847,Unknown,Weak Passwords,Antivirus,27,18.228684544069267,2020-2024
Uk,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61,502.3879835210908,2015-2019
Usa,2020,Man-In-The-Middle,Education,44.85,527938,Nation-state,Zero-day,Encryption,1,84.95315737832851,2020-2024
Uk,2022,Ddos,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16,78.89589152357422,2020-2024
India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3,35.501940936563315,2015-2019
Russia,2015,Ddos,Retail,69.61,26321,Nation-state,Zero-day,Encryption,11,2644.656358041108,2015-2019
Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39,53.82149949058887,2020-2024
Russia,2019,Malware,Retail,11.57,367712,Nation-state,Weak Passwords,Firewall,13,31.464842050300234,2015-2019
Russia,2015,Ddos,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55,352.36475337005913,2015-2019
Australia,2018,Sql Injection,Retail,51.46,287089,Nation-state,Weak Passwords,Encryption,8,179.24755041119653,2015-2019
Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36,52.59331398032133,2020-2024
China,2016,Sql Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70,942.1780265770036,2015-2019
Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17,115.55372678109569,2015-2019
France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25,226.56199505809474,2020-2024
Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10,1.954151874822614,2015-2019
Russia,2016,Phishing,Government,2.74,863777,Insider,Zero-day,Antivirus,20,3.172115025058551,2015-2019
Japan,2024,Sql Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32,129.21378484955426,2020-2024
Russia,2022,Sql Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27,145.7032411537318,2020-2024
Brazil,2018,Sql Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57,44.14625269059539,2015-2019
Usa,2021,Ddos,Telecommunications,99.81,460842,Unknown,Weak Passwords,AI-based Detection,59,216.58182196935175,2020-2024
Australia,2022,Malware,Retail,47.33,839881,Unknown,Zero-day,Firewall,51,56.353221468279436,2020-2024
Brazil,2017,Ddos,IT,72.48,860625,Unknown,Zero-day,Firewall,4,84.21786492374727,2015-2019
Uk,2019,Sql Injection,Healthcare,65.47,263110,Insider,Social Engineering,Firewall,6,248.83128729428756,2015-2019
Japan,2020,Man-In-The-Middle,IT,13.61,506364,Nation-state,Social Engineering,Firewall,66,26.877898112820027,2020-2024
Usa,2021,Phishing,Education,6.01,176772,Insider,Unpatched Software,Firewall,6,33.99859706288326,2020-2024
Brazil,2021,Sql Injection,Retail,1.32,564277,Nation-state,Weak Passwords,Firewall,1,2.3392766318669733,2020-2024
Australia,2017,Man-In-The-Middle,Retail,47.97,36780,Insider,Unpatched Software,AI-based Detection,64,1304.241435562806,2015-2019
Germany,2021,Ransomware,Retail,46.82,589744,Nation-state,Weak Passwords,VPN,32,79.39037955451857,2020-2024
Russia,2018,Malware,Government,59.01,309230,Hacker Group,Social Engineering,Encryption,61,190.82883290754455,2015-2019
China,2024,Man-In-The-Middle,Telecommunications,53.59,4913,Hacker Group,Weak Passwords,AI-based Detection,61,10907.79564420924,2020-2024
Brazil,2020,Sql Injection,Education,50.41,350295,Insider,Unpatched Software,Encryption,5,143.9072781512725,2020-2024
Usa,2020,Ddos,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19,60.2640606965204,2020-2024
Brazil,2018,Malware,Telecommunications,96.22,445546,Nation-state,Weak Passwords,Firewall,45,215.95974377505354,2015-2019
Brazil,2023,Sql Injection,Healthcare,7.33,486146,Insider,Zero-day,Firewall,12,15.077774989406475,2020-2024
Uk,2016,Phishing,Education,29.49,466333,Hacker Group,Zero-day,Firewall,51,63.23807236459783,2015-2019
Japan,2019,Phishing,Government,73.35,706019,Nation-state,Zero-day,Encryption,65,103.89238816519102,2015-2019
Uk,2020,Ddos,Retail,70.03,971464,Nation-state,Weak Passwords,Firewall,4,72.087076824257,2020-2024
India,2015,Man-In-The-Middle,IT,76.97,224983,Nation-state,Weak Passwords,AI-based Detection,42,342.11473755794884,2015-2019
Brazil,2019,Ransomware,Telecommunications,87.41,919425,Nation-state,Unpatched Software,Encryption,45,95.0702884955271,2015-2019
Russia,2023,Ddos,Telecommunications,57.25,115138,Unknown,Unpatched Software,Encryption,42,497.22941166252673,2020-2024
Japan,2020,Phishing,IT,99.57,786468,Nation-state,Social Engineering,AI-based Detection,42,126.60400677459222,2020-2024
India,2023,Phishing,Retail,5.11,620560,Hacker Group,Weak Passwords,Antivirus,59,8.234497872889003,2020-2024
Usa,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59,58.134828951021866,2015-2019
France,2016,Ddos,Education,46.58,361163,Hacker Group,Zero-day,Firewall,38,128.97223691241905,2015-2019
Brazil,2017,Ransomware,Healthcare,54.78,469735,Nation-state,Zero-day,Encryption,57,116.61894472415298,2015-2019
Usa,2015,Man-In-The-Middle,IT,46.27,117231,Unknown,Unpatched Software,AI-based Detection,28,394.69082409942763,2015-2019
Germany,2018,Ransomware,Healthcare,14.38,276925,Unknown,Unpatched Software,VPN,54,51.927417170714094,2015-2019
Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33,179.25022466348534,2015-2019
Australia,2016,Phishing,Telecommunications,63.81,71720,Hacker Group,Zero-day,Encryption,21,889.7099832682654,2015-2019
Russia,2024,Ransomware,Telecommunications,35.62,236676,Nation-state,Social Engineering,AI-based Detection,67,150.50110699859724,2020-2024
India,2024,Man-In-The-Middle,Telecommunications,93.46,409281,Nation-state,Weak Passwords,Antivirus,18,228.35167036828,2020-2024
Japan,2023,Phishing,Banking,82.36,612815,Insider,Zero-day,Antivirus,12,134.39618808286352,2020-2024
Russia,2018,Sql Injection,Telecommunications,11.32,153618,Nation-state,Weak Passwords,VPN,29,73.68928120402558,2015-2019
India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71,81.152464393735,2020-2024
China,2019,Malware,Retail,79.37,863510,Hacker Group,Weak Passwords,VPN,2,91.91555396000047,2015-2019
India,2024,Ddos,Healthcare,4.08,488599,Unknown,Social Engineering,Encryption,11,8.350405956622916,2020-2024
France,2022,Ransomware,Healthcare,80.73,964782,Unknown,Weak Passwords,VPN,47,83.67693427116177,2020-2024
Germany,2018,Man-In-The-Middle,IT,48.96,323027,Unknown,Unpatched Software,Encryption,49,151.5662777414891,2015-2019
China,2023,Man-In-The-Middle,Education,10.55,12970,Unknown,Social Engineering,Antivirus,32,813.4155744024672,2020-2024
India,2020,Man-In-The-Middle,Government,50.19,659835,Unknown,Zero-day,Encryption,46,76.06447066312033,2020-2024
China,2023,Sql Injection,Telecommunications,66.92,336320,Hacker Group,Social Engineering,VPN,51,198.97716460513797,2020-2024
China,2017,Man-In-The-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64,568.3054881184448,2015-2019
Brazil,2018,Malware,Banking,87.13,99178,Nation-state,Unpatched Software,Antivirus,27,878.5214462884913,2015-2019
Brazil,2024,Ransomware,Education,80.1,489369,Nation-state,Unpatched Software,Encryption,41,163.68016772619436,2020-2024
Russia,2017,Phishing,Telecommunications,2.22,620350,Hacker Group,Zero-day,Firewall,45,3.578624969775127,2015-2019
Usa,2020,Ddos,Healthcare,38.14,846602,Insider,Weak Passwords,Firewall,31,45.05068497357672,2020-2024
India,2017,Malware,Government,61.02,650042,Nation-state,Unpatched Software,Antivirus,48,93.87085757535667,2015-2019
Japan,2019,Man-In-The-Middle,Government,61.01,549197,Hacker Group,Social Engineering,Antivirus,59,111.0894633437546,2015-2019
France,2023,Phishing,IT,15.49,138639,Hacker Group,Unpatched Software,VPN,14,111.72902285792598,2020-2024
Australia,2024,Man-In-The-Middle,Healthcare,93.4,833819,Insider,Unpatched Software,Antivirus,14,112.01471782245308,2020-2024
India,2022,Malware,Retail,13.88,813217,Insider,Zero-day,AI-based Detection,71,17.068015056251898,2020-2024
Uk,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30,17.68108972092168,2015-2019
Russia,2017,Man-In-The-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43,1469.3994743467986,2015-2019
Australia,2015,Phishing,Telecommunications,89.41,488342,Hacker Group,Unpatched Software,Firewall,23,183.08890081131665,2015-2019
France,2019,Phishing,IT,55.31,526220,Nation-state,Social Engineering,AI-based Detection,2,105.10812967960169,2015-2019
Usa,2023,Ddos,Education,90.38,311596,Insider,Weak Passwords,VPN,23,290.0550713102864,2020-2024
Brazil,2024,Ddos,Retail,25.17,658226,Insider,Weak Passwords,VPN,52,38.239145825294045,2020-2024
India,2019,Phishing,Education,6.29,344693,Hacker Group,Social Engineering,Encryption,19,18.248122242111094,2015-2019
France,2016,Phishing,Education,37.57,380995,Unknown,Weak Passwords,VPN,60,98.61021798186327,2015-2019
Brazil,2018,Malware,Banking,3.1,458185,Insider,Social Engineering,AI-based Detection,31,6.765826030970023,2015-2019
Brazil,2022,Man-In-The-Middle,Education,91.69,581034,Insider,Social Engineering,VPN,67,157.80487888832667,2020-2024
Russia,2019,Ransomware,Retail,19.97,722544,Hacker Group,Social Engineering,Encryption,14,27.638455235944107,2015-2019
Brazil,2024,Phishing,IT,28.78,793783,Insider,Social Engineering,Firewall,17,36.256760348861086,2020-2024
China,2023,Sql Injection,IT,53.21,620822,Unknown,Zero-day,Firewall,21,85.7089471700423,2020-2024
Russia,2022,Ransomware,Healthcare,16.6,715102,Insider,Zero-day,Antivirus,2,23.21347164460455,2020-2024
Russia,2021,Man-In-The-Middle,Banking,44.32,634390,Unknown,Zero-day,Antivirus,54,69.86238749034506,2020-2024
Japan,2021,Ransomware,Government,10.34,791473,Nation-state,Weak Passwords,Firewall,58,13.064248559331778,2020-2024
China,2022,Phishing,IT,41.81,631816,Unknown,Weak Passwords,Firewall,29,66.17432923509377,2020-2024
Germany,2016,Malware,Banking,84.54,517353,Nation-state,Social Engineering,Antivirus,41,163.40873639468603,2015-2019
Japan,2015,Malware,Telecommunications,40.38,118734,Insider,Unpatched Software,AI-based Detection,21,340.0879276365658,2015-2019
India,2020,Man-In-The-Middle,Education,39.15,963367,Insider,Zero-day,Encryption,50,40.63871816244484,2020-2024
Australia,2021,Sql Injection,Telecommunications,22.51,71557,Insider,Social Engineering,Antivirus,47,314.5743952373632,2020-2024
Brazil,2017,Ransomware,Government,58.18,824704,Hacker Group,Zero-day,Antivirus,30,70.54652335868384,2015-2019
Germany,2023,Man-In-The-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11,69743.58974358975,2020-2024
Uk,2015,Phishing,Banking,51.38,630931,Insider,Zero-day,AI-based Detection,48,81.43521240832992,2015-2019
Germany,2016,Phishing,Government,93.61,395731,Insider,Unpatched Software,AI-based Detection,64,236.54957534284654,2015-2019
Australia,2017,Ransomware,Government,27.38,918816,Unknown,Weak Passwords,AI-based Detection,58,29.79921986556612,2015-2019
Australia,2021,Malware,Healthcare,74.61,357205,Nation-state,Weak Passwords,Antivirus,21,208.87165633179828,2020-2024
Uk,2019,Sql Injection,IT,78.84,464960,Unknown,Unpatched Software,Encryption,24,169.5629731589814,2015-2019
Usa,2019,Ransomware,Telecommunications,65.7,51619,Insider,Unpatched Software,VPN,3,1272.787152017668,2015-2019
Brazil,2017,Phishing,IT,81.04,850794,Unknown,Social Engineering,Antivirus,69,95.25219970991803,2015-2019
France,2015,Man-In-The-Middle,Banking,27.2,559841,Nation-state,Unpatched Software,VPN,22,48.58522330447395,2015-2019
China,2018,Ddos,Healthcare,86.38,685136,Nation-state,Weak Passwords,Antivirus,62,126.07715840358702,2015-2019
Brazil,2016,Malware,Education,83.93,102797,Unknown,Weak Passwords,Firewall,17,816.4635154722414,2015-2019
France,2022,Ransomware,Healthcare,40.36,439046,Insider,Social Engineering,VPN,42,91.92658628025309,2020-2024
Usa,2019,Sql Injection,Telecommunications,57.4,51312,Insider,Social Engineering,AI-based Detection,26,1118.6467103211723,2015-2019
Brazil,2022,Ransomware,Retail,1.42,510870,Unknown,Unpatched Software,AI-based Detection,35,2.779572102491828,2020-2024
Russia,2021,Sql Injection,Government,66.5,348118,Hacker Group,Zero-day,VPN,42,191.0271804388167,2020-2024
Australia,2016,Ransomware,Healthcare,47.18,509930,Unknown,Social Engineering,AI-based Detection,68,92.52250308865922,2015-2019
Uk,2016,Ransomware,IT,58.99,822380,Hacker Group,Zero-day,Firewall,26,71.73083002991318,2015-2019
Germany,2022,Sql Injection,Banking,52.91,619669,Unknown,Unpatched Software,Antivirus,19,85.3842938730193,2020-2024
Australia,2023,Sql Injection,Telecommunications,20.95,341111,Insider,Weak Passwords,VPN,14,61.416958116273,2020-2024
France,2018,Ransomware,Government,2.79,443730,Hacker Group,Weak Passwords,Antivirus,39,6.287607328781015,2015-2019
Japan,2017,Ddos,IT,27.76,824968,Insider,Weak Passwords,Encryption,15,33.64979005246264,2015-2019
Japan,2016,Man-In-The-Middle,Retail,58.77,172346,Nation-state,Social Engineering,AI-based Detection,51,341.0000812319404,2015-2019
Germany,2022,Ddos,Telecommunications,51.95,919855,Hacker Group,Weak Passwords,Antivirus,56,56.47629245913758,2020-2024
Germany,2021,Man-In-The-Middle,IT,90.57,254634,Hacker Group,Social Engineering,AI-based Detection,5,355.68698602700346,2020-2024
France,2022,Phishing,Retail,39.15,724409,Unknown,Weak Passwords,Antivirus,56,54.04405522294726,2020-2024
Uk,2018,Phishing,Healthcare,95.3,269142,Unknown,Unpatched Software,Encryption,72,354.08817650162365,2015-2019
India,2024,Phishing,Retail,92.48,32067,Insider,Unpatched Software,Antivirus,19,2883.96170517978,2020-2024
Germany,2020,Malware,Government,32.2,591314,Hacker Group,Weak Passwords,Encryption,65,54.4549934552539,2020-2024
Germany,2019,Sql Injection,Healthcare,91.72,149171,Hacker Group,Zero-day,VPN,64,614.8648195694874,2015-2019
Brazil,2016,Ddos,IT,13.52,535205,Hacker Group,Social Engineering,AI-based Detection,53,25.261348455264805,2015-2019
Germany,2022,Ransomware,Education,87.93,471889,Nation-state,Zero-day,Antivirus,4,186.33619346922688,2020-2024
France,2019,Phishing,Healthcare,52.18,869751,Insider,Zero-day,Firewall,12,59.99418224296379,2015-2019
Russia,2017,Ddos,Education,50.42,690010,Nation-state,Weak Passwords,Firewall,18,73.07140476224983,2015-2019
Brazil,2017,Ransomware,Healthcare,32.9,433987,Unknown,Zero-day,AI-based Detection,21,75.80872238108515,2015-2019
Uk,2017,Phishing,Banking,1.54,31262,Unknown,Social Engineering,Firewall,56,49.26108374384236,2015-2019
